candidate,profile,condition,opportunities,matched,undesirable,evaluated_outputs,repeated_outputs,expired_outputs,cooldown_violations,reconciled,unresolved,reconciliation_queries,reconciliation_bytes,bytes,recovery_seconds_sum,max_recovery_seconds,coverage_pct,undesirable_pct,mean_recovery_seconds,added_traffic_pct
durable_b0_poll,injected_delay_loss,wrong_id,10344,162,0,162,0,0,0,0.0,18,72.0,27584.0,2355732,0.0,0.0,1.5661252900232019,0.0,,1.1709311585528406
recovery_b16_deadline,cpu_contention,available,10344,6720,45,6756,0,0,0,0.0,0,0.0,0.0,23301288,0.0,0.0,64.96519721577727,0.6660746003552398,,0.0
recovery_b16_deadline,cpu_contention,blocking,10344,6720,45,6756,0,0,0,0.0,0,0.0,0.0,23301288,0.0,0.0,64.96519721577727,0.6660746003552398,,0.0
recovery_b16_deadline,idle,available,10344,6720,45,6756,0,0,0,0.0,0,0.0,0.0,23301288,0.0,0.0,64.96519721577727,0.6660746003552398,,0.0
recovery_b16_deadline,idle,blocking,10344,6720,45,6756,0,0,0,0.0,0,0.0,0.0,23301288,0.0,0.0,64.96519721577727,0.6660746003552398,,0.0
recovery_b16_deadline,injected_delay_loss,available,10344,6410,47,6448,0,0,0,273.0,0,273.0,105374.0,23301288,4368.0,16.0,61.96829079659706,0.7289081885856079,16.0,0.45222392856566557
recovery_b16_deadline,injected_delay_loss,blocking,10344,599,0,599,0,0,0,0.0,18,0.0,0.0,23301288,0.0,0.0,5.790796597061099,0.0,,0.0
recovery_b16_deadline,injected_delay_loss,contradictory,10344,599,0,599,0,0,0,0.0,18,72.0,27528.0,23301288,0.0,0.0,5.790796597061099,0.0,,0.11813939212287321
recovery_b16_deadline,injected_delay_loss,delayed_32,10344,6410,47,6448,0,0,0,273.0,0,819.0,187182.0,23301288,13104.0,48.0,61.96829079659706,0.7289081885856079,48.0,0.8033118169261716
recovery_b16_deadline,injected_delay_loss,unavailable,10344,599,0,599,0,0,0,0.0,18,72.0,10724.0,23301288,0.0,0.0,5.790796597061099,0.0,,0.04602320695748664
recovery_b16_deadline,injected_delay_loss,wrong_id,10344,599,0,599,0,0,0,0.0,18,72.0,27604.0,23301288,0.0,0.0,5.790796597061099,0.0,,0.11846555435047196
recovery_b16_poll,cpu_contention,available,10344,5058,51,5100,0,0,0,0.0,0,0.0,0.0,23301288,0.0,0.0,48.89791183294663,1.0,,0.0
recovery_b16_poll,cpu_contention,blocking,10344,5058,51,5100,0,0,0,0.0,0,0.0,0.0,23301288,0.0,0.0,48.89791183294663,1.0,,0.0
recovery_b16_poll,idle,available,10344,5058,51,5100,0,0,0,0.0,0,0.0,0.0,23301288,0.0,0.0,48.89791183294663,1.0,,0.0
recovery_b16_poll,idle,blocking,10344,5058,51,5100,0,0,0,0.0,0,0.0,0.0,23301288,0.0,0.0,48.89791183294663,1.0,,0.0
recovery_b16_poll,injected_delay_loss,available,10344,5003,48,5048,0,0,0,354.0,0,354.0,136594.0,23301288,5664.0,16.0,48.3662026295437,0.9508716323296355,16.0,0.5862079383766253
recovery_b16_poll,injected_delay_loss,blocking,10344,98,0,98,0,0,0,0.0,18,0.0,0.0,23301288,0.0,0.0,0.9474091260634184,0.0,,0.0
recovery_b16_poll,injected_delay_loss,contradictory,10344,98,0,98,0,0,0,0.0,18,72.0,27464.0,23301288,0.0,0.0,0.9474091260634184,0.0,,0.117864729194369
recovery_b16_poll,injected_delay_loss,delayed_32,10344,5003,48,5048,0,0,0,354.0,0,1062.0,242640.0,23301288,16992.0,48.0,48.3662026295437,0.9508716323296355,48.0,1.041315827691585
recovery_b16_poll,injected_delay_loss,unavailable,10344,98,0,98,0,0,0,0.0,18,72.0,10688.0,23301288,0.0,0.0,0.9474091260634184,0.0,,0.045868709060203024
recovery_b16_poll,injected_delay_loss,wrong_id,10344,98,0,98,0,0,0,0.0,18,72.0,27576.0,23301288,0.0,0.0,0.9474091260634184,0.0,,0.11834538931925137
recovery_b1_deadline,cpu_contention,available,10344,9993,60,10044,0,0,0,0.0,0,0.0,0.0,23301288,0.0,0.0,96.60672853828306,0.5973715651135006,,0.0
recovery_b1_deadline,cpu_contention,blocking,10344,9993,60,10044,0,0,0,0.0,0,0.0,0.0,23301288,0.0,0.0,96.60672853828306,0.5973715651135006,,0.0
recovery_b1_deadline,idle,available,10344,9993,60,10044,0,0,0,0.0,0,0.0,0.0,23301288,0.0,0.0,96.60672853828306,0.5973715651135006,,0.0
recovery_b1_deadline,idle,blocking,10344,9993,60,10044,0,0,0,0.0,0,0.0,0.0,23301288,0.0,0.0,96.60672853828306,0.5973715651135006,,0.0
recovery_b1_deadline,injected_delay_loss,available,10344,9957,61,10009,0,0,0,690.0,0,690.0,266399.0,23301288,11040.0,16.0,96.25870069605568,0.6094514936557098,16.0,1.143280148290515
recovery_b1_deadline,injected_delay_loss,blocking,10344,161,0,161,0,0,0,0.0,18,0.0,0.0,23301288,0.0,0.0,1.5564578499613302,0.0,,0.0
recovery_b1_deadline,injected_delay_loss,contradictory,10344,161,0,161,0,0,0,0.0,18,72.0,27472.0,23301288,0.0,0.0,1.5564578499613302,0.0,,0.11789906206043202
recovery_b1_deadline,injected_delay_loss,delayed_32,10344,9957,61,10009,0,0,0,690.0,0,2070.0,473133.0,23301288,33120.0,48.0,96.25870069605568,0.6094514936557098,48.0,2.0305014898747227
recovery_b1_deadline,injected_delay_loss,unavailable,10344,161,0,161,0,0,0,0.0,18,72.0,10688.0,23301288,0.0,0.0,1.5564578499613302,0.0,,0.045868709060203024
recovery_b1_deadline,injected_delay_loss,wrong_id,10344,161,0,161,0,0,0,0.0,18,72.0,27584.0,23301288,0.0,0.0,1.5564578499613302,0.0,,0.1183797221853144
